211,M-W,Brightman,ELIOT,414,10577,F01,ANTH,04:30,03:10PM,Introduction to Anthropology,1.0
344,T-Th,Makley,VOLLUM,120,20573,S01,ANTH,11:50,10:30AM,Sex and Gender,1.0
431,T,Kaplan,PHYSIC,240A,10624,F01,BIOL,08:00,06:10PM,Field Biology of Amphibians,0.5
431,"","","",Mellies RESCHEDULED TO OTHER SEMESTER,10626,F03,BIOL,"","",Bacterial Pathogenesis,0.5
431,Th,Yezerinac,BIOL,200A,20626,S04,BIOL,08:00,06:10PM,Seminar in Biology,0.5
101,M-W-F,Geselbracht,VOLLUM,VLH,10543,F,CHEM,11:50,11:00AM,MolecularStructure and Properties,1.0
101,M,Geselbracht,CHEM,301,10544,F01,CHEM,02:00,01:10PM,MolecularStructure and Properties,0.0
101,M,Geselbracht,CHEM,301,10545,F02,CHEM,03:00,02:10PM,MolecularStructure and Properties,0.0
101,M,Geselbracht,CHEM,301,10546,F03,CHEM,04:00,03:10PM,MolecularStructure and Properties,0.0
101,T,Geselbracht,PHYSIC,123,10789,F08,CHEM,11:50,11:00AM,MolecularStructure and Properties,0.0
101,T,Geselbracht,CHEM,301,10547,F04,CHEM,02:00,01:10PM,MolecularStructure and Properties,0.0
101,T,Geselbracht,CHEM,301,10548,F05,CHEM,03:00,02:10PM,MolecularStructure and Properties,0.0
344,T-Th,Makley,VOLLUM,110,20575,S02,ANTH,02:30,01:10PM,Sex and Gender,1.0
101,T,Geselbracht,CHEM,301,10549,F06,CHEM,04:00,03:10PM,MolecularStructure and Properties,0.0
101,T,Geselbracht,CHEM,301,10550,F07,CHEM,05:00,04:10PM,MolecularStructure and Properties,0.0
101,M,Geselbracht,CHEM,308,10551,FL1,CHEM,04:00,01:10PM,MolecularStructure and Properties,0.0
101,T,Geselbracht,CHEM,308,10555,FL5,CHEM,11:50,09:00AM,MolecularStructure and Properties,0.0
101,T,Geselbracht,CHEM,308,10552,FL2,CHEM,04:00,01:10PM,MolecularStructure and Properties,0.0
101,W,Geselbracht,CHEM,308,10553,FL3,CHEM,04:00,01:10PM,MolecularStructure and Properties,0.0
101,W,Geselbracht,CHEM,308,10557,FL7,CHEM,09:00,06:10PM,MolecularStructure and Properties,0.0
101,Th,Geselbracht,CHEM,308,10556,FL6,CHEM,11:50,09:00AM,MolecularStructure and Properties,0.0
101,Th,Geselbracht,CHEM,308,10554,FL4,CHEM,04:00,01:10PM,MolecularStructure and Properties,0.0
101,F,Geselbracht,CHEM,308,10558,FL8,CHEM,05:00,02:10PM,MolecularStructure and Properties,0.0
348,T,Haviland,ELIOT,419,20483,S,ANTH,09:00,06:10PM,Languages the Americas:Mayan,1.0
102,M-W-F,Glasfeld,VOLLUM,VLH,20537,S,CHEM,11:50,11:00AM,Chemical Reactivity,1.0
102,M,Glasfeld,CHEM,301,20538,S01,CHEM,03:00,02:10PM,Chemical Reactivity,0.0
102,M,Glasfeld,CHEM,301,20539,S02,CHEM,04:00,03:10PM,Chemical Reactivity,0.0
